place_id,selected_photo_index,selected_photo_path,photo_needs_placeholder,notes
91f1070f-e27b-421a-8534-948305b87f13,1,scraped_photos/91f1070f-e27b-421a-8534-948305b87f13.webp,False,
b3e44bae-30bd-4d08-86f4-a2773ae9fc99,2,scraped_photos/b3e44bae-30bd-4d08-86f4-a2773ae9fc99_2.webp,False,
07833c02-7d60-43d8-88d9-4357ad90fe27,2,scraped_photos/07833c02-7d60-43d8-88d9-4357ad90fe27_2.webp,False,timestamp_in_photo_1
a5d834b6-772f-4979-a0ba-569d703763ca,2,scraped_photos/a5d834b6-772f-4979-a0ba-569d703763ca_2.webp,False,faces_in_photo_1; timestamp_in_photo_2
fc129492-509e-462e-bfca-219a8a957b56,2,scraped_photos/fc129492-509e-462e-bfca-219a8a957b56_2.webp,False,
13812ee7-3eb3-43ca-b46c-c0c7eccb7d65,2,scraped_photos/13812ee7-3eb3-43ca-b46c-c0c7eccb7d65_2.webp,False,
188256ec-822f-413b-a373-a1172e5b1d3d,1,scraped_photos/188256ec-822f-413b-a373-a1172e5b1d3d.webp,False,faces_in_photo_2
c5afed93-4c9c-458b-a164-2239d8723153,1,scraped_photos/c5afed93-4c9c-458b-a164-2239d8723153.webp,False,
a84cba2d-ffd1-4fff-bcfe-917ab0da2005,3,scraped_photos/a84cba2d-ffd1-4fff-bcfe-917ab0da2005_3.webp,False,
6ad3af8b-d59b-48bc-b21a-5ae04b981768,2,scraped_photos/6ad3af8b-d59b-48bc-b21a-5ae04b981768_2.webp,False,
61c9af0a-194a-4290-b881-fa4df5096c25,1,scraped_photos/61c9af0a-194a-4290-b881-fa4df5096c25.webp,False,timestamp_in_photo_2
18efe581-ed6f-4eba-ba2f-610b0b822e91,2,scraped_photos/18efe581-ed6f-4eba-ba2f-610b0b822e91_2.webp,False,
020a6460-14d8-43b7-96b4-224c239c158f,2,scraped_photos/020a6460-14d8-43b7-96b4-224c239c158f_2.webp,False,timestamp_in_photo_3
